,Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Birthrate,Deathrate
0,Afghanistan ,Asia (Ex. Near East)         ,31056997,647500,48.0,0.0,23.06,163.07,700.0,36.0,3.2,46.6,20.34
1,Albania ,Eastern Europe                     ,3581655,28748,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,15.11,5.22
2,Algeria ,Northern Africa                    ,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,17.14,4.61
3,American Samoa ,Oceania                            ,57794,199,290.4,58.29,-20.71,9.27,8000.0,97.0,259.5,22.46,3.27
4,Andorra ,Western Europe                     ,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,8.71,6.25
5,Angola ,Sub-Saharan Africa                 ,12127071,1246700,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,45.11,24.2
6,Anguilla ,Latin Amer. & Carib    ,13477,102,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,14.17,5.34
7,Antigua & Barbuda ,Latin Amer. & Carib    ,69108,443,156.0,34.54,-6.15,19.46,11000.0,89.0,549.9,16.93,5.37
8,Argentina ,Latin Amer. & Carib    ,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,16.73,7.55
9,Armenia ,C.W. Of Ind. States ,2976372,29800,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,12.07,8.23
10,Aruba ,Latin Amer. & Carib    ,71891,193,372.5,35.49,0.0,5.89,28000.0,97.0,516.1,11.03,6.68
11,Australia ,Oceania                            ,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,12.14,7.51
12,Austria ,Western Europe                     ,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,8.74,9.76
13,Azerbaijan ,C.W. Of Ind. States ,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,20.74,9.75
14,Bahamas. The ,Latin Amer. & Carib    ,303770,13940,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,17.57,9.05
15,Bahrain ,Near East                          ,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,17.8,4.14
16,Bangladesh ,Asia (Ex. Near East)         ,147365352,144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,29.8,8.27
17,Barbados ,Latin Amer. & Carib    ,279912,431,649.5,22.51,-0.31,12.5,15700.0,97.4,481.9,12.71,8.67
18,Belarus ,C.W. Of Ind. States ,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,11.16,14.02
19,Belgium ,Western Europe                     ,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,10.38,10.27
20,Belize ,Latin Amer. & Carib    ,287730,22966,12.5,1.68,0.0,25.69,4900.0,94.1,115.7,28.84,5.72
21,Benin ,Sub-Saharan Africa                 ,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,38.85,12.22
22,Bermuda ,Northern America                   ,65773,53,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,11.4,7.74
23,Bhutan ,Asia (Ex. Near East)         ,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,33.65,12.7
24,Bolivia ,Latin Amer. & Carib    ,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,23.3,7.53
25,Bosnia & Herzegovina ,Eastern Europe                     ,4498976,51129,88.0,0.04,0.31,21.05,6100.0,0.0,215.4,8.77,8.27
26,Botswana ,Sub-Saharan Africa                 ,1639833,600370,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,23.08,29.5
27,Brazil ,Latin Amer. & Carib    ,188078227,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,16.56,6.17
28,British Virgin Is. ,Latin Amer. & Carib    ,23098,153,151.0,52.29,10.01,18.05,16000.0,97.8,506.5,14.89,4.42
29,Brunei ,Asia (Ex. Near East)         ,379444,5770,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,18.79,3.45
30,Bulgaria ,Eastern Europe                     ,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,9.65,14.27
31,Burkina Faso ,Sub-Saharan Africa                 ,13902972,274200,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,45.62,15.6
32,Burma ,Asia (Ex. Near East)         ,47382633,678500,69.8,0.28,-1.8,67.24,1800.0,85.3,10.1,17.91,9.83
33,Burundi ,Sub-Saharan Africa                 ,8090068,27830,290.7,0.0,-0.06,69.29,600.0,51.6,3.4,42.22,13.46
34,Cambodia ,Asia (Ex. Near East)         ,13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,26.9,9.06
35,Cameroon ,Sub-Saharan Africa                 ,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,33.89,13.47
36,Canada ,Northern America                   ,33098932,9984670,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,10.78,7.8
37,Cape Verde ,Sub-Saharan Africa                 ,420979,4033,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,24.87,6.55
38,Cayman Islands ,Latin Amer. & Carib    ,45436,262,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,12.74,4.89
39,Central African Rep. ,Sub-Saharan Africa                 ,4303356,622984,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,33.91,18.65
40,Chad ,Sub-Saharan Africa                 ,9944201,1284000,7.7,0.0,-0.11,93.82,1200.0,47.5,1.3,45.73,16.38
41,Chile ,Latin Amer. & Carib    ,16134219,756950,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,15.23,5.81
42,China ,Asia (Ex. Near East)         ,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,13.25,6.97
43,Colombia ,Latin Amer. & Carib    ,43593035,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,20.48,5.58
44,Comoros ,Sub-Saharan Africa                 ,690948,2170,318.4,15.67,0.0,74.93,700.0,56.5,24.5,36.93,8.2
45,Congo. Dem. Rep. ,Sub-Saharan Africa                 ,62660551,2345410,26.7,0.0,0.0,94.69,700.0,65.5,0.2,43.69,13.27
46,Congo. Repub. of the ,Sub-Saharan Africa                 ,3702314,342000,10.8,0.05,-0.17,93.86,700.0,83.8,3.7,42.57,12.93
47,Cook Islands ,Oceania                            ,21388,240,89.1,50.0,0.0,0.0,5000.0,95.0,289.9,21.0,0.0
48,Costa Rica ,Latin Amer. & Carib    ,4075261,51100,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,18.32,4.36
49,Cote d'Ivoire ,Sub-Saharan Africa                 ,17654843,322460,54.8,0.16,-0.07,90.83,1400.0,50.9,14.6,35.11,14.84
50,Croatia ,Eastern Europe                     ,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,9.61,11.48
51,Cuba ,Latin Amer. & Carib    ,11382820,110860,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,11.89,7.22
52,Cyprus ,Near East                          ,784301,9250,84.8,7.01,0.43,7.18,19200.0,97.6,0.0,12.56,7.68
53,Czech Republic ,Eastern Europe                     ,10235455,78866,129.8,0.0,0.97,3.93,15700.0,99.9,314.3,9.02,10.59
54,Denmark ,Western Europe                     ,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,11.13,10.36
55,Djibouti ,Sub-Saharan Africa                 ,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,39.53,19.31
56,Dominica ,Latin Amer. & Carib    ,68910,754,91.4,19.63,-13.87,14.15,5400.0,94.0,304.8,15.27,6.73
57,Dominican Republic ,Latin Amer. & Carib    ,9183984,48730,188.5,2.64,-3.22,32.38,6000.0,84.7,97.4,23.22,5.73
58,East Timor ,Asia (Ex. Near East)         ,1062777,15007,70.8,4.7,0.0,47.41,500.0,58.6,0.0,26.99,6.24
59,Ecuador ,Latin Amer. & Carib    ,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,22.29,4.23
60,Egypt ,Northern Africa                    ,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,22.94,5.23
61,El Salvador ,Latin Amer. & Carib    ,6822378,21040,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,26.61,5.78
62,Equatorial Guinea ,Sub-Saharan Africa                 ,540109,28051,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,35.59,15.06
63,Eritrea ,Sub-Saharan Africa                 ,4786994,121320,39.5,1.84,0.0,74.87,700.0,58.6,7.9,34.33,9.6
64,Estonia ,Baltics                            ,1324333,45226,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,10.04,13.25
65,Ethiopia ,Sub-Saharan Africa                 ,74777981,1127127,66.3,0.0,0.0,95.32,700.0,42.7,8.2,37.98,14.86
66,Faroe Islands ,Western Europe                     ,47246,1399,33.8,79.84,1.41,6.24,22000.0,0.0,503.8,14.05,8.7
67,Fiji ,Oceania                            ,905949,18270,49.6,6.18,-3.14,12.62,5800.0,93.7,112.6,22.55,5.65
68,Finland ,Western Europe                     ,5231372,338145,15.5,0.37,0.95,3.57,27400.0,100.0,405.3,10.45,9.86
69,France ,Western Europe                     ,60876136,547030,111.3,0.63,0.66,4.26,27600.0,99.0,586.4,11.99,9.14
70,French Guiana ,Latin Amer. & Carib    ,199509,91000,2.2,0.42,6.27,12.07,8300.0,83.0,255.6,20.46,4.88
71,French Polynesia ,Oceania                            ,274578,4167,65.9,60.6,2.94,8.44,17500.0,98.0,194.5,16.68,4.69
72,Gabon ,Sub-Saharan Africa                 ,1424906,267667,5.3,0.33,0.0,53.64,5500.0,63.2,27.4,36.16,12.25
73,Gambia. The ,Sub-Saharan Africa                 ,1641564,11300,145.3,0.71,1.57,72.02,1700.0,40.1,26.8,39.37,12.25
74,Gaza Strip ,Near East                          ,1428757,360,3968.8,11.11,1.6,22.93,600.0,0.0,244.3,39.45,3.8
75,Georgia ,C.W. Of Ind. States ,4661473,69700,66.9,0.44,-4.7,18.59,2500.0,99.0,146.6,10.41,9.23
76,Germany ,Western Europe                     ,82422299,357021,230.9,0.67,2.18,4.16,27600.0,99.0,667.9,8.25,10.62
77,Ghana ,Sub-Saharan Africa                 ,22409572,239460,93.6,0.23,-0.64,51.43,2200.0,74.8,14.4,30.52,9.72
78,Gibraltar ,Western Europe                     ,27928,7,3989.7,171.43,0.0,5.13,17500.0,0.0,877.7,10.74,9.31
79,Greece ,Western Europe                     ,10688058,131940,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,9.68,10.24
80,Greenland ,Northern America                   ,56361,2166086,0.0,2.04,-8.37,15.82,20000.0,0.0,448.9,15.93,7.84
81,Grenada ,Latin Amer. & Carib    ,89703,344,260.8,35.17,-13.92,14.62,5000.0,98.0,364.5,22.08,6.88
82,Guadeloupe ,Latin Amer. & Carib    ,452776,1780,254.4,17.19,-0.15,8.6,8000.0,90.0,463.8,15.05,6.09
83,Guam ,Oceania                            ,171019,541,316.1,23.2,0.0,6.94,21000.0,99.0,492.0,18.79,4.48
84,Guatemala ,Latin Amer. & Carib    ,12293545,108890,112.9,0.37,-1.67,35.93,4100.0,70.6,92.1,29.88,5.2
85,Guernsey ,Western Europe                     ,65409,78,838.6,64.1,3.84,4.71,20000.0,0.0,842.4,8.81,10.01
86,Guinea ,Sub-Saharan Africa                 ,9690222,245857,39.4,0.13,-3.06,90.37,2100.0,35.9,2.7,41.76,15.48
87,Guinea-Bissau ,Sub-Saharan Africa                 ,1442029,36120,39.9,0.97,-1.57,107.17,800.0,42.4,7.4,37.22,16.53
88,Guyana ,Latin Amer. & Carib    ,767245,214970,3.6,0.21,-2.07,33.26,4000.0,98.8,143.5,18.28,8.28
89,Haiti ,Latin Amer. & Carib    ,8308504,27750,299.4,6.38,-3.4,73.45,1600.0,52.9,16.9,36.44,12.17
90,Honduras ,Latin Amer. & Carib    ,7326496,112090,65.4,0.73,-1.99,29.32,2600.0,76.2,67.5,28.24,5.28
91,Hong Kong ,Asia (Ex. Near East)         ,6940432,1092,6355.7,67.12,5.24,2.97,28800.0,93.5,546.7,7.29,6.29
92,Hungary ,Eastern Europe                     ,9981334,93030,107.3,0.0,0.86,8.57,13900.0,99.4,336.2,9.72,13.11
93,Iceland ,Western Europe                     ,299388,103000,2.9,4.83,2.38,3.31,30900.0,99.9,647.7,13.64,6.72
94,India ,Asia (Ex. Near East)         ,1095351995,3287590,333.2,0.21,-0.07,56.29,2900.0,59.5,45.4,22.01,8.18
95,Indonesia ,Asia (Ex. Near East)         ,245452739,1919440,127.9,2.85,0.0,35.6,3200.0,87.9,52.0,20.34,6.25
96,Iran ,Asia (Ex. Near East)         ,68688433,1648000,41.7,0.15,-0.84,41.58,7000.0,79.4,276.4,17.0,5.55
97,Iraq ,Near East                          ,26783383,437072,61.3,0.01,0.0,50.25,1500.0,40.4,38.6,31.98,5.37
98,Ireland ,Western Europe                     ,4062235,70280,57.8,2.06,4.99,5.39,29600.0,98.0,500.5,14.45,7.82
99,Isle of Man ,Western Europe                     ,75441,572,131.9,27.97,5.36,5.93,21000.0,0.0,676.0,11.05,11.19
100,Israel ,Near East                          ,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,17.97,6.18
101,Italy ,Western Europe                     ,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,8.72,10.4
102,Jamaica ,Latin Amer. & Carib    ,2758124,10991,250.9,9.3,-4.92,12.36,3900.0,87.9,124.0,20.82,6.52
103,Japan ,Asia (Ex. Near East)         ,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,9.37,9.16
104,Jersey ,Western Europe                     ,91084,116,785.2,60.34,2.76,5.24,24800.0,0.0,811.3,9.3,9.28
105,Jordan ,Near East                          ,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,21.25,2.65
106,Kazakhstan ,C.W. Of Ind. States ,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,16.0,9.42
107,Kenya ,Sub-Saharan Africa                 ,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,39.72,14.02
108,Kiribati ,Oceania                            ,105432,811,130.0,140.94,0.0,48.52,800.0,0.0,42.7,30.65,8.26
109,Korea. North ,Asia (Ex. Near East)         ,23113019,120540,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,15.54,7.13
110,Korea. South ,Asia (Ex. Near East)         ,48846823,98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,10.0,5.85
111,Kuwait ,Near East                          ,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,21.94,2.41
112,Kyrgyzstan ,C.W. Of Ind. States ,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,22.8,7.08
